MKT_TP_CODE	SCR_CODE	SCR_NM	ENSCR_NM	TRDUNIT	MONEYTYPE	CAPITAL	CIRCULATSTOCK	ASSETSPERSHARE	LSTINCPERSHARE	CURINCPERSHARE	VOL_BASE_RATIO	RECTIME
1	122119	12兴发02		10	0	500000000	500000000	0	0	0	0	20160307172319
1	122121	11日照港		10	0	500000000	500000000	0	0	0	0	20160307172319
1	122123	11中化01		10	0	0	0	0	0	0	0	20160307172319
1	122124	11中化02		10	0	1200000000	1200000000	0	0	0	0	20160307172319
1	122125	11美兰债		10	0	800000000	800000000	0	0	0	0	20160307172319
1	122126	11庞大02		10	0	2200000000	2200000000	0	0	0	0	20160307172319
1	122127	11欧亚债		10	0	470000000	470000000	0	0	0	0	20160307172319
1	122131	11片仔癀		10	0	300000000	300000000	0	0	0	0	20160307172319
1	122132	12鹏博债		10	0	1400000000	1400000000	0	0	0	0	20160307172319
1	122133	11柳化债		10	0	510000000	510000000	0	0	0	0	20160307172319
1	122134	11华微债		10	0	320000000	320000000	0	0	0	0	20160307172319
1	122135	12宝泰隆		10	0	1000000000	279287000	0	0	0	0	20160307172319
1	122136	11复星债		10	0	1500000000	1500000000	0	0	0	0	20160307172319
1	122138	11桂东01		10	0	600000000	600000000	0	0	0	0	20160307172319
1	122139	11洪水业		10	0	500000000	500000000	0	0	0	0	20160307172319
1	122141	12天士01		10	0	400000000	400000000	0	0	0	0	20160307172319
1	122142	11鹿港债		10	0	400000000	234353000	0	0	0	0	20160307172319
1	122143	12亿利01		10	0	800000000	800000000	0	0	0	0	20160307172319
1	122144	12鲁信债		10	0	400000000	400000000	0	0	0	0	20160307172319
1	122145	11桂东02		10	0	400000000	400000000	0	0	0	0	20160307172319
1	122146	12华新01		10	0	1000000000	939000000	0	0	0	0	20160307172319
1	122147	12华新02		10	0	1000000000	1000000000	0	0	0	0	20160307172319
1	122148	11吉高速		10	0	800000000	800000000	0	0	0	0	20160307172319
1	122149	12石化01		10	0	13000000000	13000000000	0	0	0	0	20160307172319
1	122150	12石化02		10	0	7000000000	7000000000	0	0	0	0	20160307172319
1	122151	12国电01		10	0	3000000000	3000000000	0	0	0	0	20160307172319
1	122152	12国电02		10	0	1000000000	1000000000	0	0	0	0	20160307172319
1	122154	12京能02		10	0	1200000000	1200000000	0	0	0	0	20160307172319
